date,user_id,session_id,page,source,device,country,duration,visits,timestamp
2025-01-01,399,sess_228,cart,email,mobile,China,160.5,4,2025-01-01 04:15:00
2025-01-01,369,sess_799,cart,direct,desktop,USA,346.6,2,2025-01-01 04:25:00
2025-01-01,43,sess_1031,home,direct,desktop,USA,80.3,8,2025-01-01 08:06:00
2025-01-01,159,sess_268,checkout,google,mobile,Japan,73.7,4,2025-01-01 15:04:00
2025-01-01,25,sess_1083,cart,email,desktop,Japan,63.7,7,2025-01-01 17:08:00
2025-01-01,167,sess_871,home,google,desktop,China,279.0,6,2025-01-01 18:21:00
2025-01-01,137,sess_144,product,google,desktop,China,171.7,9,2025-01-01 19:07:00
2025-01-01,138,sess_787,product,facebook,desktop,USA,86.3,5,2025-01-01 20:04:00
2025-01-01,306,sess_274,cart,google,desktop,China,51.5,8,2025-01-01 21:47:00
2025-01-01,86,sess_300,home,google,desktop,Other,25.7,6,2025-01-01 22:43:00
2025-01-02,363,sess_994,home,direct,mobile,UK,383.0,1,2025-01-02 00:54:00
2025-01-02,127,sess_726,product,facebook,mobile,China,17.2,6,2025-01-02 03:00:00
2025-01-02,17,sess_1139,cart,facebook,desktop,Japan,32.5,9,2025-01-02 03:04:00
2025-01-02,377,sess_732,product,google,mobile,UK,125.9,7,2025-01-02 03:21:00
2025-01-02,157,sess_578,checkout,facebook,mobile,China,5.0,4,2025-01-02 03:51:00
2025-01-02,45,sess_155,home,direct,mobile,Germany,150.8,8,2025-01-02 04:15:00
2025-01-02,314,sess_944,cart,direct,mobile,UK,132.4,8,2025-01-02 04:37:00
2025-01-02,341,sess_424,home,facebook,tablet,Japan,76.5,5,2025-01-02 07:12:00
2025-01-02,375,sess_660,checkout,google,desktop,USA,277.7,9,2025-01-02 09:26:00
2025-01-02,132,sess_156,cart,facebook,mobile,USA,191.3,7,2025-01-02 10:49:00
2025-01-02,384,sess_1054,home,google,desktop,Japan,89.2,4,2025-01-02 17:01:00
2025-01-02,164,sess_327,home,google,desktop,Japan,235.4,4,2025-01-02 17:55:00
